Word, Frequency, ID
rugged, 1, 1805
rule, 1, 1036
runs, 1, 1811
rush, 2, 1182
s, 16, 328
safe, 2, 1113
said, 6, 160
salt, 1, 1308
samples, 1, 1760
sanguine, 1, 1022
satellites, 2, 1876
satiation, 2, 1180
satisfies, 1, 463
satisfying, 1, 471
savannahs, 1, 887
say, 2, 1121
scale, 1, 1924
school, 1, 838
screams, 1, 1336
script, 1, 835
sea, 8, 1725
searching, 1, 1586
second, 4, 1217
sediment, 1, 1829
sedulously, 2, 1105
see, 3, 1372
seeds, 2, 1101
seek, 1, 828
seldom, 1, 1424
selection, 1, 923
self, 1, 566
selves, 1, 1625
sensations, 1, 1398
sensor, 1, 1892
sensors, 2, 1887
sent, 2, 375
separate, 1, 1529
serious, 4, 910
service, 1, 1279
setting, 2, 1040
seven, 1, 1849
several, 2, 1338
sex, 1, 1407
shallow, 1, 1736
shape, 1, 1730
share, 2, 859
shared, 1, 809
shares, 2, 1004
sharp, 1, 1382
shelf, 1, 1814
shore, 1, 1808
shortage, 1, 902
shortened, 1, 233
should, 3, 942
show, 2, 467
showed, 1, 460
shows, 1, 850
side, 2, 1356
sign, 5, 319
signals, 1, 1515
signs, 1, 246
silly, 1, 431
similar, 3, 1647
similarity, 2, 277
simple, 3, 303
simplest, 4, 1212
simply, 2, 234
since, 2, 276
single, 1, 1281
singular, 1, 163
sinking, 1, 964
six, 3, 1164
sixty, 1, 1880
size, 2, 1874
skin, 1, 1390
sleepless, 1, 1026
slope, 4, 1812
small, 5, 293
so, 17, 255
societies, 1, 719
society, 3, 872
solar, 2, 1435
solid, 1, 1015
some, 4, 959
someone, 1, 1681
something, 8, 1053
sometimes, 1, 231
somewhere, 2, 1480
son, 1, 1403
soon, 1, 1779
soothing, 1, 1393
sore, 1, 1422
sorted, 1, 971
sounding, 1, 1756
soundings, 2, 1758
space, 2, 1490
spaced, 1, 1888
spaces, 1, 1915
spanned, 2, 346
spasm, 2, 1048
speaking, 2, 1139
speculative, 1, 1847
speech, 1, 1675
speed, 1, 1542
spiritual, 1, 779
split, 1, 1011
sprays, 1, 1623
spread, 1, 1038
squalls, 1, 1872
square, 2, 156
st, 1, 515
stage, 2, 1268
stages, 2, 1274
stalls, 1, 1361
stand, 2, 1616
standard, 1, 357
stands, 1, 1378
star, 1, 1556
stars, 1, 1461
start, 4, 820
started, 1, 1479
starting, 3, 1119
starts, 2, 1470
state, 4, 370
stated, 1, 423
states, 2, 388
stations, 1, 1884
steep, 1, 1826
steeper, 1, 1819
stick, 2, 1381
still, 5, 845
stock, 2, 932
stories, 1, 1294
story, 2, 391
straight, 1, 1324
strain, 2, 1125
strange, 1, 1712
streets, 1, 1596
stress, 1, 785
stronger, 2, 1058
structure, 2, 926
studied, 1, 1430
study, 1, 1767
stupid, 1, 1263
subdued, 1, 1621
subject, 1, 1768
submarine, 1, 1777
subscripts, 1, 243
subservient, 1, 1328
successful, 1, 1313
such, 5, 443
suffer, 1, 1025
suffice, 1, 1692
sufficient, 3, 977
suggested, 2, 963
sum, 2, 177
summation, 1, 216
summing, 1, 245
sun, 1, 1912
suns, 1, 1457
superimposed, 1, 1802
superior, 1, 1505
supplying, 1, 1701
suppose, 1, 1886
supposed, 1, 1395
sure, 3, 856
surface, 2, 1731
survive, 1, 1440
susceptible, 1, 1409
suspend, 1, 702
sustenance, 4, 1209
sweat, 2, 1149
swiftly, 4, 1077
symbol, 1, 251
system, 5, 149
t, 4, 364
tablelands, 1, 1806
tailing, 1, 1833
take, 4, 424
taken, 1, 1306
takes, 2, 300
taking, 1, 240
tame, 3, 1344
task, 2, 1060
taught, 1, 810
techniques, 1, 1245
technological, 1, 1698
television, 1, 1514
tells, 1, 392
temperature, 1, 1895
temperatures, 1, 1451
tempered, 1, 1276
ten, 1, 1923
tended, 2, 1106
tens, 1, 1558
term, 1, 833
terraces, 1, 1831
test, 1, 567
tethered, 1, 1345
textbooks, 1, 762
th, 1, 517
than, 1, 1744
that, 45, 182
the, 294, 136
their, 14, 1173
them, 11, 941
then, 12, 259
there, 8, 358
therefore, 3, 885
these, 2, 1199
they, 19, 253
thing, 1, 1704
things, 5, 1163
think, 3, 445
thirty, 2, 1707
this, 22, 148
those, 13, 763
though, 1, 1552
thought, 2, 1713
thoughts, 1, 1685
thousand, 1, 1468
thousands, 1, 1492
three, 6, 1116
through, 3, 361
thunderstorms, 1, 1858
thus, 1, 1520
ticklish, 1, 1352
time, 5, 724
tiny, 1, 1918
tipsters, 1, 903
to, 133, 161
together, 2, 325
toiled, 2, 1144
too, 2, 1442
top, 1, 1890
topics, 2, 1129
topography, 1, 1794
tough, 1, 1250
trace, 1, 299
tradition, 1, 808
traditional, 1, 829
trained, 2, 1296
trainer, 3, 1303
training, 8, 1247
transformation, 2, 278
transmit, 1, 1517
transported, 1, 1837
transporting, 1, 1554
transpose, 1, 287
travel, 1, 1541
travels, 1, 1536
tree, 1, 1334
triangular, 1, 305
tribal, 2, 718
tribe, 1, 812
tried, 1, 1718
trifling, 2, 1167
true, 1, 1823
trunk, 2, 1415
trusts, 1, 1013
try, 1, 823
trying, 3, 1185
turbulent, 1, 1869
turn, 1, 1269
turning, 1, 1715
twentieth, 1, 735
twenty, 2, 1317
two, 11, 317
unable, 1, 1907
unavoidable, 1, 1301
uncertainties, 1, 1864
unclear, 1, 1694
unconnected, 2, 1130
under, 2, 313
underline, 1, 1309
undertake, 1, 1319
undertaken, 2, 1092
underwater, 1, 1785
undisturbed, 1, 1368
undoubtedly, 1, 958
undue, 2, 1079
unfortunate, 3, 729
unimodular, 1, 165
uninteresting, 1, 1496
uniquely, 2, 1561
unit, 2, 284
universe, 4, 1462
unsaid, 1, 1522
until, 2, 1257
up, 8, 350
upon, 1, 1803
upside, 1, 1716
upward, 1, 1867
us, 7, 727
use, 8, 1118
used, 1, 1246
useful, 2, 1196
useless, 2, 1056
uses, 1, 1426
usually, 2, 1412
utterly, 2, 449
v, 3, 360
vain, 2, 1181
value, 6, 189
variety, 1, 1792
vast, 2, 1463
vectors, 3, 347
vertical, 1, 1827
very, 7, 1329
vestments, 1, 1031
victim, 1, 730
virtual, 1, 1465
visit, 1, 1506
visitors, 1, 1489
vivifying, 2, 1107
vocation, 2, 1233
wandering, 1, 1595
want, 4, 954
ware, 1, 1436
was, 14, 403
water, 3, 1370
wave, 1, 1579
wavelength, 1, 1572
waves, 1, 1540
way, 4, 957
ways, 1, 961
we, 13, 771
weapons, 2, 1611
weather, 4, 1843
week, 2, 1148
weekend, 2, 1168
well, 10, 389
wells, 1, 765
were, 3, 797
west, 1, 1649
what, 13, 427
when, 8, 186
where, 7, 219
whether, 1, 1908
which, 13, 143
while, 4, 409
white, 1, 1659
who, 19, 753
wholly, 1, 1655
whose, 1, 1363
why, 1, 1487
wild, 1, 1347
wilderness, 1, 865
will, 20, 1054
win, 1, 607
wisdom, 1, 766
wish, 3, 417
with, 45, 213
without, 6, 326
women, 1, 752
won, 1, 1024
words, 1, 722
work, 11, 402
worked, 1, 760
working, 4, 1161
works, 2, 382
world, 5, 1687
worried, 2, 1146
worry, 2, 1166
worrying, 2, 1162
worth, 1, 447
worthless, 1, 1850
worthy, 1, 1769
would, 15, 767
writing, 1, 236
wrong, 1, 960
x, 7, 131
xx, 3, 501
y, 4, 132
year, 3, 1534
years, 7, 1277
yet, 3, 1132
you, 29, 909
young, 1, 750
younger, 1, 1014
your, 13, 944
yourself, 1, 1041
z, 7, 134
zero, 1, 1453
zeros, 1, 332
